post	hate_or_not_hate	implicit_or_explicit	implicit_class	extra_implicit_class_x	extra_implicit_class_y
:: I hate to throw away these dirty white trash every week.	hate	implicit_hate	inferiority		
One of his parents should be white, not a cleaner.	hate	implicit_hate	inferiority		
Whites are better off without blacks and Jews; both parasites are on white civilization.	hate	implicit_hate	inferiority		
The Jews want each of these girls to reject white men and use their white wombs to raise black babies with black men.	hate	implicit_hate	inferiority		
She doesn't want to be white, she married a stinking Jew.	hate	implicit_hate	inferiority		
We can't beat a man if a person mixes with different races who don't even have the iq (low iq) necessary to understand Nietzsche's work.	hate	implicit_hate	inferiority		
The country's white Western races are infected with rats, and when the white Westerns leave, the craft race will still be just rats.	hate	implicit_hate	inferiority		
You hate white people because we look better, and we're smarter.	hate	implicit_hate	inferiority		
"No less biased, though more empirically unfounded, is the belief that black people are harmless or ""like us. """	hate	implicit_hate	inferiority		
"This is an empty symulacrim ""white propaganda "" if the Jews are considered white. """	hate	implicit_hate	inferiority		
Are you ready to offer your white children a black executioner?	hate	implicit_hate	inferiority		
Americans are white people, this is our country, all the other guests.	hate	implicit_hate	inferiority		
:: &quot; Degenrat black racist &quot; killed young white socialists for tattooing swastika: via &quot; swastika &quot;	hate	implicit_hate	inferiority		
No wonder they want to dance like rats... their countries will one day be empty, while our country will run with them... it's wrong... people didn't fight to protect our countries today.	hate	implicit_hate	inferiority		
Illegal aliens stormed the beach in San Diego, a second attempt was disrupted through #border #immigration #noamnessy	hate	implicit_hate	inferiority		
Anette Kahane, a Jewish activist, wants to destroy Europe through non-white immigration (Video) through	hate	implicit_hate	inferiority		
Look at the white civilization and look at the white one.	hate	implicit_hate	inferiority		
The whole point of #laraza is that literally white America makes white people pay to raise fat mestizos.	hate	implicit_hate	inferiority		
Although all white men and women are not Jewish, all white men and women I am a white man and a Jew.	hate	implicit_hate	inferiority		
We found one blackmail from Australia who was making fun of you.	hate	implicit_hate	inferiority		
You're not white, you're a low race for turkeys, I love turkeys, but you're smaller turkeys.	hate	implicit_hate	inferiority		
You're like pre-whites not exactly white.	hate	implicit_hate	inferiority		
All positive global changes over the past 1,000 years have been introduced by whites, which is not random.	hate	implicit_hate	inferiority		
I totally agree with you, Nwo loves not humanity, but people who are loyal to them to divide us.	hate	implicit_hate	inferiority		
I believe every man needs a black slave.	hate	implicit_hate	inferiority		
Well, they're on average 100 iq	hate	implicit_hate	inferiority		
The white column is meaningless if the Jews are included... they need their own column.	hate	implicit_hate	inferiority		
:: Killing of young white National Socialists because of black racists for swastikat	hate	implicit_hate	inferiority		
Blacks have never created civilized societies on their own without the help of white people.	hate	implicit_hate	inferiority		
If you look at a forbidden video about race and iq in about 14 minutes they show a graph. It says that 16% of black people in America are as smart as the average white person.	hate	implicit_hate	inferiority		
Obama, who won the Nobel Prize, reduced the award to a pointless piece of lead!	hate	implicit_hate	inferiority		
The white race #aryan has passed through history - the most creative and cultural and constructive race of people.	hate	implicit_hate	inferiority		
What if white privilege is really a white achievement?	hate	implicit_hate	inferiority		
What's wrong with being tall and white now?	hate	implicit_hate	inferiority		
Where do blacks perform at the white or Asian level?	hate	implicit_hate	inferiority		
""" A Jew as a parasite """	hate	implicit_hate	inferiority		
"#canada is a ""compassionate society, "" so it's important to treat these parasites with respect and tolerance. To hug a jihadist! To invite them to a pork dinner! It's a Canadian way! #cdnpoli #sisisis"	hate	implicit_hate	inferiority		
:: Shari &apos; a law is barbaric	hate	implicit_hate	inferiority		
Four underwear in clean clothes.	hate	implicit_hate	inferiority		
Don't come down from ours. #Build the wall #andimmigration #altreit #Identitarian	hate	implicit_hate	inferiority		
He's the lowest form of white.	hate	implicit_hate	inferiority		
I don't care about prehistoric, the white race is my most advanced people who've ever walked the earth.	hate	implicit_hate	inferiority		
I don't know what a white sharia is anyway, it's not a man's and a woman's thing that's clearly false, and I know that the degradation of the west is only due to women who have the right to vote, but it's played its part, just look at the floor.	hate	implicit_hate	inferiority		
I want to live in a white ethnic state, imagine how peaceful and friendly it would be.	hate	implicit_hate	inferiority		
It's been a long time since I've seen these people as human beings.	hate	implicit_hate	inferiority		
You're just a snob punk, I'd rather be with the poorest honest white cha.	hate	implicit_hate	inferiority		
The African dream is a chance to move to America or Europe to live under the privilege of whites/civilization.	hate	implicit_hate	inferiority		
Could a white ethnic State make degeneration a civilian test for admission?	hate	implicit_hate	inferiority		
You sound like a left person. rubbish is garbage, even if they're white. We're not all equal.	hate	implicit_hate	inferiority		
"Depends on who makes ""colonialization. "" Many peoples in Africa thrive under European colonization."	hate	implicit_hate	inferiority		
Sixty percent of America is white, including Jews and terrorists.	hate	implicit_hate	inferiority		
: Have you noticed that ordinary Americans (whites) turn off the news in cars?	hate	implicit_hate	inferiority		
All ideas conservatives proclaim love are white ideas, but they hate nothing white.	hate	implicit_hate	inferiority		
And let us be only in rich white immigrants who hide the unwanted non-white poor, which is its ultimate goal.	hate	implicit_hate	inferiority		
A black republican explains why he now thinks the white race is intellectually higher.	hate	implicit_hate	inferiority		
minorities as minions for white liberals through	hate	implicit_hate	inferiority		
It is time to begin a serious debate on the disarmament of blacks and the rebirth of mad havens.	hate	implicit_hate	inferiority		
What race is the mass murder of jihad again?	hate	implicit_hate	inferiority		
What happens when they lose all the white money, they live in dirty junk without white money!	hate	implicit_hate	inferiority		
White Europeans are a great race and are recognized as great all over the world.	hate	implicit_hate	inferiority		
The white race was the greatest good on the planet by race.	hate	implicit_hate	inferiority		
"We also know that intelligence is primarily inherited and the rest environment, but the poor conditions will certainly be provided to children by stupid parents, which is part of what we mean when we say: ""Invite the third world to become the third world. """	hate	implicit_hate	inferiority		
...the emotional condemnation of the gay women of Jewish non-whites and any other people who are unable to create civilization.	hate	implicit_hate	inferiority		
And white people don't need blacks for everything you need, we don't need you.	hate	implicit_hate	inferiority		
Are you denying the average black iq across the planet 85?	hate	implicit_hate	inferiority		
Soon we'll all be forced to admit that all racists (the right thing) when gene editing/the science of life expansion is commercialized + competition for the white/Asian bottom makes it absolutely clear that the nigrid of the bottom has no commercial value: ~ 100-year extinction	hate	implicit_hate	inferiority		
Isn't it good for black people in America, they terrorize America to be racist and low iq do what ever does	hate	implicit_hate	inferiority		
The tickler knows that the whites are moving on, then any other race.	hate	implicit_hate	inferiority		
Yeah, you're okay in the white majority country, like Mexico these days, you come here because you can't build it.	hate	implicit_hate	inferiority		
#arkanas always ben infected w / incestian-psychotic white trash superrematist & still supports #hillbilly2	hate	implicit_hate	inferiority		
I'm white green eyes like your white blondes from South America.	hate	implicit_hate	inferiority		
70 million of us, white Christian racist bosses in the 21st century against racial mix, please be Faye.	hate	implicit_hate	inferiority		
: > implies that blacks are slaves these days. > means white people.	hate	implicit_hate	inferiority		
: Shoes and shoes: In this farce of the country, illegal aliens appear on a Mexican beard...	hate	implicit_hate	inferiority		
What kind of self-hating and/or white savior causes this?	hate	implicit_hate	inferiority		
He's live anti-white, he's not white, he's in favor of wrongdoing, and he's not only confessed to raping women.	hate	implicit_hate	inferiority		
Indians are pre-Colombians, white people have founded and built wow.	hate	implicit_hate	inferiority		
Only a few years ago, these lined people were used to clean the windows of our cars on the streets of Italy.	hate	implicit_hate	inferiority		
The depth of a hipster from Brooklyn knows he's better than an old man from a country club than some random white guy.	hate	implicit_hate	inferiority		
It's comforting that he was killed by a middle class educated jihad, not jihad.	hate	implicit_hate	inferiority		
The difference between the third world and America is that people	hate	implicit_hate	inferiority		
Subcontinental housewives climbed America's political/corporate/social stairways faster than other Asian groups	hate	implicit_hate	inferiority		
Well, he would have been born white, and most Jews were born white.	hate	implicit_hate	inferiority		
White civilization is higher than monkeys.	hate	implicit_hate	inferiority		
Why is the white race the most beautiful creation of God?	hate	implicit_hate	inferiority		
We need an honest country, not a bunch of killer thieves.	hate	implicit_hate	inferiority		
But only fools can imagine a white friendly candidate coming from the Jewish sculpture.	hate	implicit_hate	inferiority		
Black life is the work of lesbians!	hate	implicit_hate	inferiority		
If black dysfunction is an indicator of institutionalized white superiority, it appears that cities become whiter as they become more black.	hate	implicit_hate	inferiority		
It allows white people to be free from black crimes!	hate	implicit_hate	inferiority		
Liberal solution: immigration from the third world	hate	implicit_hate	inferiority		
I never hope it's humiliating, I can't believe the Germans they drowned so low!	hate	implicit_hate	inferiority		
Always trying to say they're equal to white... can't be any further from the truth.	hate	implicit_hate	inferiority		
White people seem to be the only truly altruistic ethnic group.	hate	implicit_hate	inferiority		
You're not good enough or white enough.	hate	implicit_hate	inferiority		
#gaywade will destabilize both white and black communities.	hate	implicit_hate	inferiority		
A world without white people: a visual view of the future.	hate	implicit_hate	inferiority		
It's funny how few keralits are eloquently advised by the rest of India when their backyard stinks of minority communism.	hate	implicit_hate	inferiority		
